choco_bar_name,company_name,rating,comapany_loc,cocoa_perc,bean_type,bean_origin,company_flavor,CQ,sweetness,acidity,bitterness,roast,intensity,complexity,structure,length,appearance,aroma,mouthfeel,flavor,quality
Nicaragua 80,Zotter,4.0,Austria,80.0,Criollo,Nicaragua,Crossover,77.0,53.0,34.0,51.0,46.0,81.0,76.0,64.0,72.0,78.0,89.0,81.3,93.4,90.5
Nicaragua 60,Zotter,2.0,Austria,60.0,Blend,Nicaragua,Naked,78.0,57.0,24.0,46.0,70.0,55.0,34.0,72.0,76.0,86.0,71.0,76.0,73.4,77.0
Campesina 70 ,Black Mt,3.0,USA,70.0,Blend,Nicaragua,Naked,82.0,51.0,30.0,52.0,79.0,64.0,24.0,71.0,66.0,72.0,71.0,82.0,83.6,77.0
Mad 70 w/ Nibs,Patric,3.0,USA,70.0,some,Madagascar,Twang,21.0,49.0,96.0,34.0,65.0,78.0,41.0,32.0,61.0,100.0,78.0,82.7,79.8,75.5
Dark + Coffee,Mast Brothers,2.5,USA,72.0,mite,Madagascar,Twang,29.0,46.0,85.0,43.0,61.0,92.0,66.0,24.0,77.0,94.0,83.0,65.3,80.4,77.0
Classic Milk Chocolate,Tcho,2.0,USA,39.0,Blend,,Earthen,29.0,54.0,39.0,41.0,72.0,74.0,16.0,30.0,76.0,86.0,68.0,76.0,75.8,68.5
Serious Milk Cacao,Tcho,4.0,USA,53.0,Blend,,Earthen,71.0,51.0,22.0,41.0,76.0,89.0,42.0,82.0,84.0,86.0,80.0,79.3,92.2,86.5
Papua New Guinea,Neuhaus,2.5,Belgium,70.0,Criollo,Papua New Guinea,Naked,70.0,58.0,33.0,37.0,57.0,52.0,56.0,63.0,64.0,98.0,65.0,80.7,79.2,73.5
Ocumare 73,Escazú,0.0,USA,73.0,Criollo,Venezuela,Earthen,29.0,24.0,22.0,91.0,87.0,87.0,16.0,23.0,54.0,76.0,63.0,64.7,44.8,34.5
Mango / Paranusse,Zotter,1.0,Austria,,,,Fruits,12.0,83.0,76.0,7.0,26.0,81.0,20.0,14.0,38.0,64.0,54.0,65.3,61.2,59.5
Gelb Krokant,Zotter,4.0,Austria,30.0,,Dominican Republic,Sugar,68.0,81.0,44.0,31.0,67.0,79.0,76.0,84.0,77.0,80.0,84.0,82.0,92.2,94.0
Accra Lait,Felchlin,3.0,Switzerland,42.0,Amazon,Ghana,Earthen,63.0,81.0,4.0,10.0,61.0,52.0,18.0,71.0,67.0,86.0,78.0,94.0,80.8,76.0
Shark's Cacao,Hilo Shark,5.0,USA,,Blend,Hawai'i USA,Crossover,28.0,54.0,39.0,24.0,1.0,61.0,62.0,79.0,76.0,88.0,89.0,90.0,96.6,90.5
