choco_bar_name,company_name,rating,comapany_loc,cocoa_perc,bean_type,bean_origin,company_flavor,CQ,sweetness,acidity,bitterness,roast,intensity,complexity,structure,length,appearance,aroma,mouthfeel,flavor,quality
Ghana Vollmilch,Coppeneur,2.0,Germany,57.0,Amelonado,Ghana,Crossover,34.0,64.0,12.0,78.0,72.0,64.0,33.0,32.0,79.0,96.0,91.0,84.7,66.8,61.0
Dominicana Vollmilch,Coppeneur,2.0,Germany,52.0,Hybrid,Dominican Republic,Earthen,27.0,54.0,26.0,66.0,62.0,50.0,43.0,34.0,64.0,98.0,88.0,68.0,75.4,60.0
Karamell & Flor de Sal,Coppeneur,3.0,Germany,50.0,Hybrid,Dominican Republic,Sugar,21.0,65.0,11.0,19.0,62.0,83.0,52.0,56.0,88.0,100.0,68.0,76.0,89.6,78.0
Kaffee,Coppeneur,1.5,Germany,66.0,Hybrid,Dominican Republic,Spices,12.0,54.0,79.0,56.0,64.0,78.0,33.0,24.0,81.0,78.0,80.0,65.3,70.6,58.0
République de Madagascar,Coppeneur,4.0,Germany,70.0,Blend,Madagascar,Crossover,52.0,58.0,56.0,33.0,74.0,62.0,76.0,80.0,71.0,98.0,84.0,78.0,93.6,87.5
Orangenöl & Urwaldpfeffer,Coppeneur,2.0,Germany,56.0,Blend,Madagascar,Spices,17.0,46.0,88.0,34.0,65.0,78.0,61.0,46.0,95.0,86.0,74.0,77.3,76.4,67.0
Bittra,Agostoni,3.0,Italy,60.0,Blend,,Naked,54.0,66.0,45.0,36.0,68.0,57.0,52.0,63.0,76.0,42.0,63.0,84.0,86.4,82.0
Valtellina,Agostoni,2.5,Italy,,,,Sugar,22.0,76.0,14.0,19.0,61.0,59.0,39.0,51.0,54.0,58.0,67.0,80.0,78.6,73.0
Regina,Agostoni,3.0,Italy,61.0,Blend,,Fruits,58.0,70.0,49.0,26.0,68.0,53.0,56.0,71.0,60.0,46.0,68.0,84.0,88.0,82.0
Mango & Himbeere,Coppeneur,1.5,Germany,,,,Fruits,26.0,91.0,96.0,6.0,46.0,99.0,43.0,17.0,78.0,42.0,90.0,56.0,74.6,64.5
Pistazie Wattle Seed & Vanille,Coppeneur,3.5,Germany,70.0,Batch,,Crossover,36.0,82.0,59.0,34.0,66.0,76.0,79.0,72.0,90.0,72.0,78.0,78.0,92.2,86.5
Ricco,Agostoni,4.0,Italy,39.0,Blend,,Sugar,28.0,64.0,24.0,16.0,61.0,34.0,65.0,77.0,57.0,88.0,89.0,84.0,90.2,84.0
Walnuss & Cognac,Coppeneur,4.0,Germany,,Batch,,Crossover,34.0,78.0,64.0,33.0,59.0,66.0,88.0,76.0,76.0,76.0,86.0,82.7,92.4,90.5
Chili & Highland Whisky,Coppeneur,4.5,Germany,,Batch,,Crossover,38.0,51.0,52.0,26.0,63.0,76.0,88.0,81.0,0.0,86.0,89.0,81.3,94.8,90.5
Chiara,Agostoni,3.0,Italy,33.0,Blend,,Spices,6.0,78.0,10.0,10.0,56.0,24.0,26.0,61.0,57.0,74.0,73.0,87.3,84.6,80.0
Gianduia,Agostoni,2.0,Italy,32.0,Blend,,Sugar,9.0,96.0,22.0,4.0,56.0,76.0,39.0,41.0,58.0,56.0,90.0,80.7,69.0,61.0
Intelligentsia Coffee,Askinosie,5.0,USA,77.0,Hybrid,Philippines,Fruits,40.0,66.0,69.0,33.0,71.0,76.0,89.0,82.0,91.0,92.0,94.0,80.7,94.8,92.5
Dark-Milk / Black Licorice,Askinosie,4.5,USA,62.0,Hybrid,Philippines,Spices,47.0,59.0,36.0,40.0,66.0,61.0,76.0,76.0,78.0,90.0,90.0,80.7,92.8,91.0
Malted Milk,Askinosie,1.5,USA,60.0,Hybrid,Tanzania,Earthen,24.0,56.0,42.0,51.0,58.0,61.0,30.0,28.0,34.0,86.0,86.0,76.0,65.4,62.5
100%,Orecao,3.0,Ecuador,100.0,Nacional,Ecuador,Earthen,24.0,53.0,22.0,78.0,81.0,71.0,42.0,60.0,64.0,42.0,88.0,73.3,87.8,77.0
70%,Orecao,3.0,Ecuador,70.0,Nacional,Ecuador,Fruits,38.0,39.0,34.0,42.0,76.0,56.0,58.0,70.0,76.0,50.0,87.0,64.0,91.6,79.5
55%,Orecao,1.0,Ecuador,55.0,Nacional,Ecuador,Sugar,43.0,94.0,24.0,12.0,68.0,52.0,26.0,42.0,54.0,28.0,71.0,59.3,65.4,59.0
Vietnam 72%,Grand-Place,3.5,Vietnam,72.0,Vintage,Vietnam,Spices,46.0,68.0,31.0,40.0,72.0,34.0,58.0,62.0,64.0,66.0,71.0,85.3,89.2,85.0
Tremezzo Bio,Agostoni,2.5,Italy,70.0,Blend,,Naked,63.0,65.0,21.0,28.0,72.0,56.0,13.0,80.0,57.0,70.0,48.0,75.3,86.2,74.0
San Primo Bio,Agostoni,3.0,Italy,60.0,Blend,,Crossover,48.0,84.0,38.0,13.0,63.0,51.0,56.0,52.0,72.0,56.0,76.0,76.0,87.4,79.5
Finissimo Bio,Agostoni,4.0,Italy,32.0,Blend,,Fruits,26.0,68.0,21.0,19.0,65.0,42.0,64.0,81.0,63.0,76.0,91.0,84.7,90.0,86.0
Bianca Bio,Agostoni,1.0,Italy,30.0,,,Sugar,7.0,90.0,14.0,31.0,62.0,51.0,11.0,13.0,42.0,86.0,78.0,56.0,58.4,53.5
Grenada,Naive,4.0,Lithuania,71.0,Hybrid,Grenada,Crossover,72.0,56.0,36.0,31.0,64.0,53.0,76.0,76.0,52.0,98.0,90.0,78.0,92.6,89.0
Uganda Fleur de Sel,Naive,3.0,Lithuania,68.0,Amazon,Uganda,Spices,36.0,44.0,42.0,34.0,66.0,70.0,48.0,56.0,47.0,96.0,82.0,79.3,86.4,78.5
Organic Milk,Naive,4.0,Lithuania,43.0,Blend,(Uganda; Haiti),Earthen,48.0,69.0,27.0,24.0,71.0,63.0,58.0,76.0,70.0,94.0,91.0,72.7,93.4,89.0
Orange-Cinnamon,Naive,3.5,Lithuania,63.0,Blend,Haiti,Fruits,38.0,66.0,61.0,24.0,64.0,55.0,58.0,66.0,73.0,82.0,77.0,79.3,90.0,86.0
San Martin,Mast Brothers,1.0,USA,75.0,CCN-51,Peru,Twang,23.0,41.0,84.0,70.0,58.0,76.0,34.0,31.0,68.0,76.0,76.0,68.0,59.2,55.0
Stumptown Coffee,Mast Brothers,0.5,USA,74.0,Blend,Madagascar,Twang,14.0,34.0,79.0,41.0,57.0,84.0,34.0,12.0,77.0,60.0,68.0,50.7,60.2,57.0
BitterClassic Mousse,Zotter,2.0,Austria,80.0,,,Sugar,32.0,80.0,37.0,22.0,66.0,51.0,29.0,46.0,62.0,96.0,83.0,86.7,68.8,60.5
Marc de Champagne,Zotter,2.0,Austria,70.0,,,Twang,12.0,36.0,79.0,32.0,47.0,84.0,26.0,39.0,71.0,80.0,78.0,68.0,71.4,71.5
Scotch Whisky,Zotter,0.0,Austria,70.0,,,Crossover,37.0,48.0,56.0,31.0,62.0,66.0,86.0,76.0,81.0,88.0,89.0,88.0,95.2,89.0
Brandneuer Erdäpfelvodka,Zotter,4.0,Austria,40.0,,,Fruits,33.0,76.0,62.0,10.0,46.0,76.0,80.0,71.0,76.0,96.0,91.0,82.0,90.4,85.0
Papua New Guinea,Mast Brothers,2.0,USA,71.0,Hybrid,Papua New Guinea,Earthen,21.0,36.0,20.0,76.0,99.0,64.0,32.0,33.0,76.0,64.0,59.0,46.7,85.4,62.5
Samoa Gold,Pacific Biokoko,3.0,Samoa,,Hybrid,Samoa,Fruits,9.0,44.0,42.0,82.0,0.1,62.0,49.0,34.0,76.0,80.0,90.0,86.0,84.8,76.0
Steinpilze mit Kastanie,Zotter,1.0,Austria,55.0,,,Sugar,19.0,93.0,61.0,34.0,43.0,76.0,31.0,27.0,34.0,80.0,57.0,80.7,59.6,52.0
Rose und Basilikum,Zotter,4.0,Austria,50.0,,,Fruits,23.0,76.0,43.0,10.0,57.0,51.0,93.0,82.0,77.0,90.0,83.0,77.3,95.4,89.0
Lust for Life 5.0,Zotter,3.5,Austria,70.0,Blend,Peru,Earthen,31.0,76.0,41.0,17.0,70.0,48.0,51.0,79.0,68.0,100.0,81.0,79.3,89.4,80.5
Rosa Kokos und FischGummi,Zotter,2.0,Austria,,,,Crossover,6.0,82.0,76.0,48.0,42.0,77.0,61.0,29.0,66.0,66.0,67.0,68.0,72.8,69.0
Tobago Estate 2012,Pralus,4.0,France,70.0,Trinitario,Tobago,Fruits,79.0,63.0,46.0,71.0,82.0,64.0,58.0,76.0,76.0,86.0,72.0,82.7,90.8,88.5
Kornelkirsche und Blut,Zotter,1.5,Austria,70.0,,,Earthen,22.0,34.0,78.0,80.0,61.0,64.0,57.0,31.0,58.0,92.0,74.0,78.7,61.2,66.5
Hanf und Mocca,Zotter,4.0,Austria,70.0,,,Earthen,26.0,66.0,16.0,34.0,76.0,63.0,71.0,78.0,69.0,92.0,89.0,82.0,91.8,90.0
Hanfplantage,Zotter,3.5,Austria,44.0,,,Earthen,31.0,80.0,16.0,14.0,66.0,62.0,39.0,76.0,46.0,96.0,82.0,79.3,88.4,89.0
Dark 100%,Menakao,3.0,Madagascar,100.0,Blend,Madagascar,Twang,14.0,26.0,76.0,79.0,70.0,86.0,41.0,53.0,61.0,58.0,83.0,78.0,89.0,79.0
Dark 80%,Menakao,3.0,Madagascar,80.0,Blend,Madagascar,Crossover,29.0,47.0,63.0,72.0,76.0,62.0,52.0,40.0,58.0,74.0,86.0,86.7,82.0,71.5
Dark 72%,Menakao,5.0,Madagascar,72.0,Blend,Madagascar,Crossover,47.0,64.0,68.0,33.0,70.0,57.0,83.0,86.0,76.0,80.0,88.0,91.3,94.8,91.0
Nibs & Sea Salt,Menakao,4.0,Madagascar,63.0,Blend,Madagascar,Fruits,47.0,58.0,64.0,30.0,71.0,65.0,88.0,79.0,83.0,86.0,78.0,82.0,95.2,89.0
Moho River,Mast Brothers,1.5,USA,70.0,Blend,Belize,Crossover,34.0,39.0,22.0,67.0,34.0,51.0,28.0,26.0,54.0,74.0,49.0,68.7,69.2,59.5
Milk Chocolate,Menakao,3.5,Madagascar,44.0,Blend,Madagascar,Earthen,20.0,78.0,28.0,16.0,63.0,59.0,54.0,76.0,72.0,96.0,93.0,72.7,90.0,81.5
Trio of Peppers,Menakao,4.0,Madagascar,70.0,Blend,Madagascar,Spices,37.0,41.0,40.0,36.0,68.0,46.0,63.0,88.0,77.0,68.0,81.0,88.0,92.8,89.5
Combava & Pink Pepper,Menakao,4.0,Madagascar,63.0,Blend,Madagascar,Crossover,24.0,83.0,56.0,30.0,71.0,59.0,81.0,79.0,77.0,88.0,96.0,85.3,90.8,87.5
Mena Creek,Zokoko,2.5,Australia,60.0,SG2,Australia,Naked,54.0,92.0,12.0,19.0,64.0,45.0,19.0,34.0,58.0,80.0,76.0,72.7,75.4,75.0
ChocoShot,Zotter,3.0,Austria,,,,Naked,8.0,34.0,86.0,36.0,90.0,92.0,24.0,78.0,76.0,100.0,62.0,76.0,83.4,80.0
Cuyagua 2012,Choklat,0.0,Canada,70.0,Cuyagua,Venezuela,Naked,9.0,66.0,17.0,39.0,71.0,56.0,11.0,4.0,76.0,76.0,63.0,35.3,54.2,19.5
Alto Beni 70%,Soma,4.0,Canada,70.0,Beniano,Bolivia,Fruits,30.0,63.0,56.0,24.0,58.0,52.0,46.0,79.0,76.0,84.0,88.0,82.7,92.4,82.5
Guatemala,Soma,0.5,Canada,70.0,Criollo,Guatemala,Earthen,13.0,19.0,16.0,76.0,57.0,78.0,10.0,8.0,54.0,86.0,47.0,75.3,57.6,33.5
Trinidad,Soma,3.0,Canada,70.0,Trinitario,Trinidad,Earthen,28.0,33.0,21.0,82.0,87.0,71.0,14.0,27.0,46.0,78.0,81.0,82.0,86.4,79.5
Dominican Republic / Madagascar,Soma,4.0,Canada,70.0,Blend,(Dominican Republic + Madagascar),Crossover,69.0,54.0,76.0,44.0,73.0,81.0,77.0,42.0,79.0,94.0,86.0,88.0,90.0,80.5
Rio Caribe Crunch,Patric,3.0,USA,70.0,Rio,Venezuela,Naked,78.0,33.0,10.0,31.0,66.0,52.0,27.0,76.0,59.0,94.0,70.0,82.7,88.0,78.0
PBJ OMG,Patric,3.0,USA,,Criollo,Madagascar,Crossover,27.0,82.0,55.0,13.0,64.0,62.0,57.0,46.0,66.0,98.0,77.0,80.0,81.8,86.5
Ben Tre 78%,Marou,2.0,Vietnam,78.0,T,Vietnam,Fruits,41.0,46.0,27.0,73.0,78.0,60.0,33.0,31.0,64.0,82.0,64.0,72.0,73.0,63.5
Dông Nai,Marou,4.0,Vietnam,72.0,T,Vietnam,Naked,86.0,67.0,14.0,27.0,64.0,42.0,26.0,77.0,56.0,82.0,78.0,86.0,93.4,87.0
Tiền Giang 70%,Marou,4.0,Vietnam,70.0,T,Vietnam,Spices,34.0,38.0,31.0,44.0,62.0,74.0,52.0,63.0,76.0,86.0,97.0,80.7,90.8,81.0
Ecuador 85%,Mānoa,3.0,USA,85.0,CCN-51,Ecuador,Crossover,64.0,48.0,13.0,76.0,52.0,72.0,22.0,44.0,63.0,74.0,71.0,86.0,86.0,78.5
Sea Salt & Nibs,Madécasse,3.5,Madagascar,63.0,Blend,Madagascar,Fruits,47.0,58.0,64.0,30.0,71.0,65.0,88.0,79.0,83.0,86.0,78.0,74.7,90.8,80.5
Hāmākua,Mānoa,3.0,USA,72.0,Hybrid,Hawai'i USA,Twang,33.0,41.0,44.0,52.0,59.0,60.0,56.0,52.0,60.0,74.0,92.0,77.3,86.8,75.0
Goat Milk Peru,Mānoa,2.0,USA,66.0,Hybrid,Peru,Earthen,16.0,45.0,33.0,76.0,64.0,76.0,39.0,41.0,56.0,80.0,61.0,84.0,68.6,69.5
Chili Pepper Dark Milk,Mānoa,3.5,USA,60.0,Hybrid,Peru,Spices,40.0,45.0,76.0,34.0,72.0,74.0,66.0,79.0,84.0,78.0,73.0,87.3,89.6,88.0
Ginger,Mānoa,2.5,USA,72.0,,Dominican Republic,Spices,33.0,52.0,71.0,30.0,67.0,61.0,42.0,41.0,68.0,88.0,81.0,76.0,74.4,69.5
Breakfast Bar,Mānoa,4.0,USA,60.0,CCN-51,Ecuador,Crossover,34.0,66.0,52.0,41.0,58.0,63.0,61.0,64.0,76.0,96.0,85.0,86.0,90.8,86.0
Smokehouse BBQ Potato Chips,Wild Ophelia,0.0,USA,70.0,Amelonado,Ivory Coast,Spices,12.0,30.0,14.0,42.0,76.0,51.0,26.0,9.0,66.0,36.0,46.0,36.0,42.4,35.0
Beef Jerky,Wild Ophelia,3.0,USA,,Amelonado,Ivory Coast,Earthen,47.0,52.0,24.0,41.0,76.0,56.0,62.0,68.0,59.0,76.0,62.0,71.3,85.8,86.0
Mexican Style Cinnamon Chili,Olive & Sinclair,3.0,USA,67.0,Amelonado,Ghana,Spices,28.0,34.0,71.0,36.0,63.0,55.0,34.0,59.0,69.0,80.0,69.0,84.0,86.8,82.0
Buttermilk White Chocolate,Olive & Sinclair,3.0,USA,45.0,Amelonado,Ghana,Twang,46.0,84.0,79.0,27.0,61.0,76.0,47.0,48.0,69.0,84.0,80.0,75.3,87.8,82.0
Air Kiss,Hershey’s,0.5,USA,,Blend,(mostly Africa),Earthen,16.0,78.0,8.0,46.0,76.0,56.0,24.0,26.0,59.0,72.0,59.0,36.7,58.2,32.0
Project Reserva,Kerchner,3.0,USA,70.0,La,Dominican Republic,Crossover,46.0,44.0,48.0,45.0,61.0,57.0,53.0,66.0,76.0,68.0,78.0,82.0,86.2,83.5
Coconut Milk & Caramelized Ginger,Madre,3.5,USA,70.0,Hybrid,Hawai'i USA,Spices,37.0,60.0,54.0,22.0,48.0,56.0,69.0,76.0,64.0,68.0,85.0,72.7,90.0,86.0
70% Dark,Theo & Philo,2.5,Philippines,70.0,Hybrid,Philippines,Earthen,64.0,36.0,14.0,59.0,79.0,41.0,26.0,37.0,72.0,76.0,79.0,74.7,80.8,73.0
Ocumare 61,Franceschi,4.5,Venezuela,70.0,Clonal,Venezuela,Earthen,46.0,69.0,28.0,37.0,66.0,44.0,55.0,78.0,51.0,92.0,78.0,91.3,92.8,90.5
Milk Chocolate,Theo & Philo,2.5,Philippines,,Hybrid,Philippines,Earthen,32.0,79.0,21.0,46.0,62.0,61.0,34.0,52.0,72.0,60.0,73.0,70.7,87.6,75.5
Sur del Lago,Franceschi,4.5,Venezuela,60.0,Sur,Venezuela,Fruits,58.0,61.0,38.0,44.0,60.0,53.0,76.0,80.0,72.0,86.0,81.0,82.7,93.4,94.5
Carenero 70%,Franceschi,4.0,Venezuela,70.0,Carenero,Venezuela,Spices,54.0,56.0,39.0,47.0,62.0,55.0,61.0,79.0,73.0,82.0,86.0,90.0,90.4,90.0
Canoabo 70%,Franceschi,4.5,Venezuela,70.0,Criollo,Venezuela,Naked,41.0,78.0,21.0,16.0,52.0,28.0,34.0,82.0,70.0,80.0,91.0,84.0,93.6,93.5
Pili Nut & Pinipig,Theo & Philo,3.0,Philippines,,Hybrid,Philippines,Earthen,34.0,76.0,17.0,19.0,62.0,54.0,52.0,65.0,68.0,70.0,87.0,82.7,84.6,79.0
Green Mango & Sea Salt,Theo & Philo,4.0,Philippines,65.0,Hybrid,Philippines,Crossover,44.0,66.0,61.0,29.0,68.0,76.0,84.0,76.0,81.0,70.0,76.0,89.3,94.2,88.5
Congo Vanilla Nib,Theo,2.5,USA,65.0,Calabacillo,Congo,Sugar,56.0,76.0,34.0,41.0,79.0,46.0,32.0,39.0,44.0,72.0,71.0,82.7,80.4,70.0
Madagascar 75%,Ritual,2.0,USA,75.0,2011,Madagascar,Twang,33.0,59.0,54.0,48.0,61.0,49.0,47.0,45.0,69.0,84.0,70.0,65.3,74.8,60.5
Barako Coffee,Theo & Philo,2.5,Philippines,,Hybrid,Philippines,Crossover,8.0,44.0,78.0,53.0,76.0,88.0,50.0,32.0,91.0,82.0,69.0,61.3,82.8,70.0
214 Madagascar,Fresco,3.5,USA,74.0,Blend,Madagascar,Twang,46.0,49.0,66.0,32.0,36.0,52.0,63.0,58.0,78.0,98.0,76.0,79.3,90.6,80.5
Gold Label,Nova Monda,2.0,USA,80.0,TBD,Ecuador,Fruits,44.0,32.0,37.0,76.0,84.0,69.0,45.0,41.0,59.0,94.0,89.0,71.3,72.2,71.5
Calamansi,Theo & Philo,3.5,Philippines,65.0,Hybrid,Philippines,Fruits,46.0,79.0,61.0,33.0,76.0,60.0,58.0,78.0,69.0,46.0,79.0,80.0,92.8,81.5
220 Papua New Guinea,Fresco,3.0,USA,69.0,of,Papua New Guinea,Crossover,37.0,46.0,50.0,53.0,80.0,61.0,59.0,56.0,71.0,94.0,78.0,76.0,87.6,78.0
Bà Rịa 76%,Marou,3.0,Vietnam,76.0,T,Vietnam,Crossover,44.0,46.0,61.0,41.0,68.0,50.0,58.0,54.0,64.0,96.0,71.0,77.3,84.8,75.5
Tiền Giang 80%,Marou,4.0,Vietnam,80.0,T,Vietnam,Spices,34.0,36.0,39.0,46.0,61.0,79.0,50.0,70.0,81.0,80.0,95.0,88.7,88.2,87.0
PH16,Lajedo do Ouro,2.0,Brazil,,Hybrid,Brazil,Fruits,30.0,36.0,42.0,71.0,64.0,58.0,44.0,40.0,59.0,78.0,77.0,85.3,70.4,62.0
Catongo,Lajedo do Ouro,3.5,Brazil,70.0,Catongo,Brazil,Naked,31.0,70.0,13.0,39.0,58.0,24.0,20.0,76.0,53.0,74.0,81.0,80.0,89.2,87.0
Bolivia,Dick Taylor,0.5,USA,75.0,Beniano,Bolivia,Earthen,34.0,32.0,14.0,76.0,76.0,65.0,12.0,33.0,51.0,90.0,51.0,48.7,61.2,44.5
Black Fig,Dick Taylor,1.5,USA,70.0,CCN-51,Ecuador,Fruits,33.0,42.0,26.0,62.0,54.0,84.0,41.0,69.0,56.0,94.0,72.0,65.3,70.8,56.0
Cacao Bisiesto,Nova Monda,4.5,USA,,+,Nicaragua,Earthen,19.0,41.0,24.0,63.0,60.0,65.0,54.0,76.0,70.0,96.0,79.0,85.3,92.0,93.0
Green Label,Nova Monda,2.5,USA,75.0,+,Nicaragua,Naked,59.0,42.0,26.0,76.0,81.0,62.0,48.0,53.0,55.0,64.0,80.0,80.7,81.2,79.0
Green Label Ganache,Nova Monda,3.5,USA,54.0,Criollo,Nicaragua,Naked,61.0,56.0,14.0,66.0,81.0,52.0,39.0,58.0,37.0,96.0,71.0,89.3,84.2,86.5
Purple Label,Nova Monda,1.5,USA,70.0,Amelonado,Nicaragua,Earthen,40.0,27.0,14.0,76.0,92.0,76.0,25.0,31.0,64.0,62.0,56.0,78.7,66.4,63.5
Good & Evil,Éclat,3.5,USA,72.0,Nacional,Peru,Earthen,34.0,51.0,20.0,34.0,59.0,33.0,39.0,54.0,74.0,96.0,90.0,84.7,89.2,78.5
70% Ecuadorian,Millcreek Cacao Roasters,4.0,USA,70.0,Nacional,Ecuador,Crossover,54.0,51.0,39.0,40.0,61.0,64.0,66.0,71.0,65.0,82.0,84.0,80.0,92.4,87.5
Piura Quemazón,Pacari,4.0,Ecuador,70.0,Nacional,Peru,Crossover,22.0,44.0,50.0,58.0,46.0,76.0,78.0,64.0,89.0,84.0,79.0,85.3,92.6,89.5
Ocumare 55%,Duffy's Red Star,2.5,UK,55.0,Ocumare,Venezuela,Earthen,53.0,46.0,18.0,48.0,79.0,66.0,51.0,43.0,71.0,92.0,88.0,72.7,75.2,71.0
Noir Equateur,A. Morin,2.5,France,70.0,CCN-51,Ecuador,Spices,31.0,36.0,26.0,41.0,46.0,58.0,36.0,30.0,51.0,76.0,76.0,80.0,74.8,75.5
Bolivie Silvestre,A. Morin,4.0,France,70.0,Beniano,Bolivia,Naked,80.0,49.0,31.0,13.0,68.0,64.0,52.0,76.0,71.0,78.0,86.0,82.7,93.6,85.5
Lait Bolivie Sauvage,A. Morin,4.5,France,48.0,Beniano,Bolivia,Spices,58.0,64.0,46.0,14.0,68.0,70.0,76.0,82.0,78.0,74.0,89.0,82.7,94.4,90.0
Noir Colombie,A. Morin,2.0,France,70.0,Pajarito,Colombia,Naked,76.0,34.0,12.0,51.0,54.0,47.0,11.0,28.0,59.0,58.0,71.0,85.3,72.8,69.5
Nibs,Strita Supreme,3.0,USA,,Hybrid,Philippines,Earthen,26.0,29.0,44.0,59.0,70.0,73.0,54.0,51.0,62.0,74.0,71.0,86.7,86.4,79.5
100%,Strita Supreme,2.0,USA,100.0,Hybrid,Philippines,Spices,29.0,44.0,13.0,34.0,70.0,34.0,26.0,30.0,47.0,72.0,83.0,76.0,69.6,63.0
80%,Strita Supreme,2.0,USA,80.0,Hybrid,Philippines,Fruits,37.0,41.0,26.0,31.0,64.0,29.0,49.0,46.0,56.0,78.0,82.0,80.0,75.2,65.5
70%,Strita Supreme,2.5,USA,70.0,Hybrid,Philippines,Spices,54.0,59.0,33.0,31.0,66.0,37.0,16.0,20.0,34.0,82.0,79.0,78.7,78.4,69.5
Mokaya,Cluizel,4.0,France,66.0,Hybrid,Mexico,Naked,78.0,66.0,28.0,18.0,61.0,57.0,26.0,56.0,62.0,90.0,77.0,88.0,88.2,89.0
Venezuela Sur del Lago Noir,A. Morin,3.0,France,70.0,Sur,Venezuela,Spices,58.0,46.0,60.0,34.0,66.0,71.0,60.0,54.0,76.0,94.0,71.0,78.7,87.2,74.5
Chuao,A. Morin,5.0,France,70.0,Criollo,Venezuela,Crossover,66.0,77.0,64.0,26.0,56.0,82.0,89.0,93.0,81.0,82.0,82.0,82.7,97.4,96.5
Pineapple Chili,Mānoa,3.0,USA,60.0,Hybrid,Peru,Crossover,26.0,46.0,64.0,31.0,61.0,71.0,84.0,46.0,90.0,70.0,67.0,88.7,82.0,81.5
Noir Jamaiques,A. Morin,3.5,France,70.0,Hybrid,Jamaica,Naked,64.0,51.0,31.0,32.0,69.0,47.0,46.0,85.0,73.0,78.0,66.0,85.3,90.0,85.5
Fijian 55%,Cravve,2.5,Australia,55.0,Hybrid,Fiji,Spices,14.0,85.0,76.0,41.0,39.0,55.0,48.0,42.0,49.0,58.0,94.0,58.0,84.6,74.0
Vanuatu 64%,Cravve,0.5,Australia,64.0,Amazon,Vanuatu,Earthen,29.0,36.0,34.0,79.0,88.0,61.0,30.0,11.0,76.0,74.0,43.0,61.3,59.6,51.5
Samoa 73%,Cravve,3.5,Australia,73.0,Hybrid,Samoa,Naked,62.0,38.0,14.0,36.0,34.0,39.0,46.0,50.0,72.0,80.0,82.0,82.7,89.8,83.5
Himalayan Pink Salt,Millcreek Cacao Roasters,4.0,USA,70.0,Nacional,Ecuador,Earthen,61.0,34.0,24.0,44.0,61.0,68.0,53.0,64.0,56.0,90.0,82.0,81.3,90.0,88.0
Cuba 70%,A. Morin,3.0,France,70.0,Amazon,Cuba,Naked,76.0,46.0,12.0,41.0,83.0,53.0,10.0,69.0,61.0,76.0,76.0,74.7,85.2,79.0
Panama 70%,A. Morin,4.0,France,70.0,Amazon,Panama,Naked,96.0,46.0,14.0,16.0,76.0,66.0,10.0,88.0,63.0,80.0,79.0,80.7,92.6,89.5
Vanuatu Milk Chocolate,Daintree Estates,1.5,Australia,45.0,Amazon,Vanuatu,Earthen,13.0,73.0,19.0,33.0,62.0,51.0,20.0,26.0,46.0,86.0,71.0,65.3,69.2,60.0
Nectar of Gold Unicorn Sucker,Cacao Yogi,1.5,USA,,Hybrid,Heaven,Fruits,11.0,79.0,62.0,76.0,10.0,69.0,34.0,31.0,42.0,82.0,59.0,50.7,69.6,69.5
Mexique Xoconusco Real,A. Morin,3.5,France,70.0,Amazon,Mexico,Twang,38.0,44.0,82.0,47.0,54.0,67.0,58.0,61.0,76.0,84.0,68.0,75.3,90.4,87.0
Oialla 78%,Bojesen,5.0,Denmark,78.0,Beniano,Bolivia,Fruits,76.0,58.0,41.0,34.0,53.0,55.0,57.0,80.0,51.0,94.0,83.0,88.0,95.6,93.0
Côte d'Ivoire,A. Morin,3.5,France,63.0,Amazon,Ivory Coast,Naked,83.0,76.0,11.0,11.0,66.0,51.0,16.0,78.0,71.0,84.0,79.0,81.3,89.2,80.0
Dominican Republic,Dick Taylor,1.0,USA,74.0,La,Dominican Republic,Twang,27.0,44.0,98.0,36.0,52.0,91.0,46.0,16.0,55.0,96.0,71.0,84.0,48.8,58.5
Oialla Milk Chocolate,Bojesen,2.0,Denmark,46.0,Beniano,Bolivia,Earthen,26.0,64.0,14.0,16.0,55.0,60.0,21.0,32.0,58.0,94.0,93.0,76.7,68.4,62.0
Milk of the Gods,Willie's,2.5,UK,44.0,Rio,Venezuela,Earthen,29.0,46.0,7.0,37.0,76.0,57.0,25.0,33.0,71.0,92.0,90.0,72.7,74.4,74.0
Belize,Dick Taylor,3.0,USA,72.0,Hybrid,Belize,Twang,41.0,51.0,46.0,36.0,64.0,55.0,47.0,60.0,57.0,98.0,60.0,89.3,83.2,76.5
Madagascar,A. Morin,5.0,France,70.0,Criollo,Madagascar,Crossover,44.0,76.0,61.0,41.0,76.0,72.0,84.0,81.0,76.0,78.0,81.0,95.3,96.0,94.5
Solomon Islands 75%,Cravve,4.0,Australia,75.0,Amazon,Solomon Islands,Fruits,43.0,69.0,41.0,22.0,51.0,41.0,56.0,78.0,64.0,66.0,76.0,88.0,93.4,87.0
Madagascar 77%,Cravve,1.0,Australia,77.0,Criollo,Madagascar,Earthen,54.0,19.0,31.0,82.0,90.0,78.0,26.0,24.0,13.0,44.0,67.0,80.7,62.6,43.0
Madagascar 64%,Cravve,2.5,Australia,64.0,Criollo,Madagascar,Spices,37.0,64.0,23.0,34.0,76.0,56.0,47.0,39.0,64.0,62.0,69.0,71.3,84.6,77.5
