choco_bar_name,company_name,company_loc,rating,cocoa_perc,CQ,sweetness,acidity,bitterness,roast,intensity,complexity,structure,length,appearance,aroma,mouthfeel,flavor,quality
Carenero 70%,Franceschi,Venezuela,4.0,70.0,54.0,56.0,39.0,47.0,62.0,55.0,61.0,79.0,73.0,82.0,86.0,90.0,90.4,90.0
Canoabo 70%,Franceschi,Venezuela,4.5,70.0,41.0,78.0,21.0,16.0,52.0,28.0,34.0,82.0,70.0,80.0,91.0,84.0,93.6,93.5
Green Mango & Sea Salt,Theo & Philo,Philippines,4.0,65.0,44.0,66.0,61.0,29.0,68.0,76.0,84.0,76.0,81.0,70.0,76.0,89.3,94.2,88.5
Congo Vanilla Nib,Theo,USA,2.5,65.0,56.0,76.0,34.0,41.0,79.0,46.0,32.0,39.0,44.0,72.0,71.0,82.7,80.4,70.0
Madagascar 75%,Ritual,USA,2.0,75.0,33.0,59.0,54.0,48.0,61.0,49.0,47.0,45.0,69.0,84.0,70.0,65.3,74.8,60.5
214 Madagascar,Fresco,USA,3.5,74.0,46.0,49.0,66.0,32.0,36.0,52.0,63.0,58.0,78.0,98.0,76.0,79.3,90.6,80.5
Gold Label,Nova Monda,USA,2.0,80.0,44.0,32.0,37.0,76.0,84.0,69.0,45.0,41.0,59.0,94.0,89.0,71.3,72.2,71.5
Calamansi,Theo & Philo,Philippines,3.5,65.0,46.0,79.0,61.0,33.0,76.0,60.0,58.0,78.0,69.0,46.0,79.0,80.0,92.8,81.5
220 Papua New Guinea,Fresco,USA,3.0,69.0,37.0,46.0,50.0,53.0,80.0,61.0,59.0,56.0,71.0,94.0,78.0,76.0,87.6,78.0
Bà Rịa 76%,Marou,Vietnam,3.0,76.0,44.0,46.0,61.0,41.0,68.0,50.0,58.0,54.0,64.0,96.0,71.0,77.3,84.8,75.5
Tiền Giang 80%,Marou,Vietnam,4.0,80.0,34.0,36.0,39.0,46.0,61.0,79.0,50.0,70.0,81.0,80.0,95.0,88.7,88.2,87.0
Catongo,Lajedo do Ouro,Brazil,3.5,70.0,31.0,70.0,13.0,39.0,58.0,24.0,20.0,76.0,53.0,74.0,81.0,80.0,89.2,87.0
Bolivia,Dick Taylor,USA,0.5,75.0,34.0,32.0,14.0,76.0,76.0,65.0,12.0,33.0,51.0,90.0,51.0,48.7,61.2,44.5
Black Fig,Dick Taylor,USA,1.5,70.0,33.0,42.0,26.0,62.0,54.0,84.0,41.0,69.0,56.0,94.0,72.0,65.3,70.8,56.0
Green Label,Nova Monda,USA,2.5,75.0,59.0,42.0,26.0,76.0,81.0,62.0,48.0,53.0,55.0,64.0,80.0,80.7,81.2,79.0
Green Label Ganache,Nova Monda,USA,3.5,54.0,61.0,56.0,14.0,66.0,81.0,52.0,39.0,58.0,37.0,96.0,71.0,89.3,84.2,86.5
Purple Label,Nova Monda,USA,1.5,70.0,40.0,27.0,14.0,76.0,92.0,76.0,25.0,31.0,64.0,62.0,56.0,78.7,66.4,63.5
Good & Evil,Éclat,USA,3.5,72.0,34.0,51.0,20.0,34.0,59.0,33.0,39.0,54.0,74.0,96.0,90.0,84.7,89.2,78.5
70% Ecuadorian,Millcreek Cacao Roasters,USA,4.0,70.0,54.0,51.0,39.0,40.0,61.0,64.0,66.0,71.0,65.0,82.0,84.0,80.0,92.4,87.5
Piura Quemazón,Pacari,Ecuador,4.0,70.0,22.0,44.0,50.0,58.0,46.0,76.0,78.0,64.0,89.0,84.0,79.0,85.3,92.6,89.5
Ocumare 55%,Duffy's Red Star,UK,2.5,55.0,53.0,46.0,18.0,48.0,79.0,66.0,51.0,43.0,71.0,92.0,88.0,72.7,75.2,71.0
Noir Equateur,A. Morin,France,2.5,70.0,31.0,36.0,26.0,41.0,46.0,58.0,36.0,30.0,51.0,76.0,76.0,80.0,74.8,75.5
Bolivie Silvestre,A. Morin,France,4.0,70.0,80.0,49.0,31.0,13.0,68.0,64.0,52.0,76.0,71.0,78.0,86.0,82.7,93.6,85.5
Lait Bolivie Sauvage,A. Morin,France,4.5,48.0,58.0,64.0,46.0,14.0,68.0,70.0,76.0,82.0,78.0,74.0,89.0,82.7,94.4,90.0
Noir Colombie,A. Morin,France,2.0,70.0,76.0,34.0,12.0,51.0,54.0,47.0,11.0,28.0,59.0,58.0,71.0,85.3,72.8,69.5
100%,Strita Supreme,USA,2.0,100.0,29.0,44.0,13.0,34.0,70.0,34.0,26.0,30.0,47.0,72.0,83.0,76.0,69.6,63.0
80%,Strita Supreme,USA,2.0,80.0,37.0,41.0,26.0,31.0,64.0,29.0,49.0,46.0,56.0,78.0,82.0,80.0,75.2,65.5
