choco_bar_name,company_name,company_loc,rating,cocoa_perc,CQ,sweetness,acidity,bitterness,roast,intensity,complexity,structure,length,appearance,aroma,mouthfeel,flavor,quality
Dark 70 w/ Nibs,Mast Brothers,USA,4.0,70.0,79.0,47.0,46.0,34.0,76.0,57.0,45.0,66.0,56.0,92.0,85.0,88.0,87.8,87.0
Twist,Alter Eco,USA,2.0,57.0,32.0,92.0,88.0,6.0,57.0,86.0,14.0,46.0,63.0,56.0,79.0,64.0,76.8,78.5
Venezuela,Vestri,Italy,5.0,72.0,82.0,51.0,48.0,46.0,54.0,57.0,68.0,77.0,76.0,100.0,81.0,92.7,93.6,93.0
Ecuador,Mast Brothers,USA,2.5,66.0,71.0,54.0,43.0,36.0,79.0,62.0,37.0,29.0,53.0,58.0,81.0,57.3,86.8,76.5
Caraibi,Vestri,Italy,5.0,70.0,67.0,53.0,34.0,19.0,56.0,62.0,66.0,71.0,68.0,98.0,87.0,81.3,94.8,94.0
Dark Milk 60,Mast Brothers,USA,4.0,60.0,67.0,58.0,33.0,36.0,82.0,62.0,66.0,71.0,64.0,88.0,73.0,84.0,90.8,94.5
Semi di Cacao,Vestri,Italy,3.5,63.0,58.0,79.0,21.0,16.0,63.0,37.0,56.0,72.0,61.0,92.0,79.0,87.3,85.6,88.5
Gianduia,Vestri,Italy,3.0,63.0,26.0,92.0,37.0,2.0,42.0,46.0,44.0,47.0,41.0,92.0,82.0,84.7,82.0,86.5
Blackout,Alter Eco,USA,1.5,85.0,43.0,41.0,32.0,48.0,76.0,63.0,51.0,49.0,74.0,58.0,67.0,68.0,69.6,63.0
Dark,Alter Eco,USA,4.5,73.0,43.0,41.0,32.0,48.0,76.0,63.0,51.0,49.0,74.0,72.0,76.0,85.3,94.6,93.5
Trinidad,Neuhaus,Belgium,4.0,67.0,57.0,48.0,34.0,23.0,69.0,54.0,38.0,66.0,71.0,96.0,78.0,80.7,90.6,91.0
Equateur82,Richart,France,2.5,82.0,57.0,48.0,29.0,24.0,73.0,52.0,46.0,38.0,67.0,92.0,76.0,92.7,74.8,78.5
Equateur70,Richart,France,3.0,70.0,54.0,52.0,37.0,18.0,77.0,48.0,42.0,41.0,64.0,96.0,71.0,79.3,81.2,82.0
Carenero82,Richart,France,4.0,82.0,79.0,32.0,17.0,66.0,77.0,72.0,35.0,61.0,69.0,86.0,87.0,94.0,91.2,79.5
Carenero75,Richart,France,2.0,75.0,43.0,38.0,14.0,34.0,76.0,48.0,41.0,57.0,55.0,96.0,79.0,76.0,68.4,70.5
St Domingue 82,Richart,France,2.0,82.0,35.0,41.0,17.0,34.0,77.0,43.0,21.0,32.0,61.0,82.0,77.0,88.0,69.6,62.0
St Domingue 70,Richart,France,3.5,70.0,51.0,57.0,32.0,13.0,72.0,39.0,42.0,59.0,68.0,92.0,79.0,87.3,84.6,84.0
PNG-71,Richart,France,4.0,71.0,78.0,57.0,26.0,36.0,72.0,51.0,46.0,68.0,69.0,96.0,76.0,84.7,89.2,89.5
Grenade,Richart,France,4.0,71.0,71.0,57.0,37.0,46.0,81.0,58.0,60.0,74.0,76.0,86.0,77.0,82.7,91.8,89.0
Sao Tome 70,Richart,France,4.0,70.0,66.0,49.0,34.0,28.0,68.0,31.0,52.0,61.0,59.0,96.0,74.0,92.0,90.2,88.0
Côte d'Ivoire 73,Richart,France,4.0,73.0,86.0,48.0,26.0,16.0,67.0,36.0,44.0,77.0,72.0,98.0,88.0,82.0,90.8,88.0
Mad 82,Richart,France,3.5,82.0,34.0,31.0,45.0,48.0,78.0,64.0,57.0,44.0,63.0,100.0,82.0,78.7,89.0,84.5
Madagascar 70,Richart,France,5.0,70.0,48.0,59.0,32.0,29.0,79.0,73.0,68.0,84.0,66.0,96.0,91.0,89.3,94.4,90.5
Cioccolatte,Vestri,Italy,4.0,34.0,46.0,67.0,5.0,11.0,64.0,51.0,56.0,62.0,73.0,78.0,88.0,80.7,90.6,93.0
Pepe Rosa,Vestri,Italy,2.0,37.0,36.0,64.0,31.0,18.0,62.0,63.0,51.0,42.0,72.0,88.0,48.0,72.7,75.2,76.0
Caffe,Vestri,Italy,3.5,63.0,32.0,69.0,46.0,42.0,71.0,68.0,73.0,46.0,77.0,98.0,94.0,64.0,88.2,81.5
Citrus,Tcho,USA,2.0,70.0,31.0,44.0,82.0,34.0,42.0,65.0,37.0,26.0,53.0,96.0,74.0,84.0,68.6,68.5
Milk Chocolate,Theo,USA,4.0,45.0,74.0,56.0,18.0,34.0,81.0,52.0,37.0,84.0,46.0,92.0,79.0,87.3,90.0,89.0
Marfil de Blanco,Bonnat,France,3.5,75.0,14.0,41.0,80.0,48.0,69.0,73.0,62.0,52.0,63.0,82.0,80.0,82.7,85.2,86.5
Apotequil,Bonnat,France,4.0,75.0,48.0,51.0,77.0,46.0,62.0,79.0,83.0,57.0,76.0,88.0,79.0,92.0,89.0,88.5
Maya,Donna Elvira,Italy,2.5,60.0,24.0,98.0,18.0,9.0,66.0,82.0,26.0,31.0,48.0,86.0,92.0,82.7,70.2,73.0
Naturale,Donna Elvira,Italy,2.5,50.0,52.0,0.0,31.0,7.0,63.0,84.0,22.0,35.0,44.0,86.0,68.0,97.3,77.4,77.0
Vaniglia,Donna Elvira,Italy,2.5,50.0,64.0,91.0,22.0,8.0,69.0,77.0,18.0,40.0,52.0,96.0,72.0,86.7,72.8,80.5
Peperoncino,Donna Elvira,Italy,0.5,40.0,27.0,0.0,91.0,14.0,66.0,0.0,32.0,54.0,94.0,92.0,82.0,89.3,45.6,46.5
Limone,Donna Elvira,Italy,2.5,50.0,29.0,88.0,37.0,21.0,50.0,77.0,52.0,36.0,32.0,42.0,61.0,78.7,79.8,85.5
Dark,Cotton Tree,Belize,3.5,70.0,43.0,46.0,49.0,52.0,42.0,56.0,58.0,49.0,67.0,78.0,92.0,65.3,89.4,88.0
Dark Milk,Cotton Tree,Belize,4.0,55.0,46.0,53.0,38.0,46.0,61.0,52.0,64.0,68.0,64.0,72.0,94.0,73.3,93.4,91.0
Milk Chocolate,Cotton Tree,Belize,4.5,40.0,41.0,69.0,32.0,28.0,64.0,55.0,64.0,63.0,61.0,74.0,69.0,77.3,98.2,94.0
Jembrana,Amano,USA,4.0,70.0,44.0,52.0,55.0,38.0,66.0,78.0,76.0,61.0,70.0,88.0,98.0,82.0,87.8,89.5
Ecuador 78,Fine & Raw,USA,0.0,78.0,14.0,41.0,12.0,58.0,2.0,72.0,21.0,17.0,52.0,96.0,69.0,71.3,28.8,15.0
75,Madécasse,Madagascar,1.5,75.0,38.0,34.0,62.0,58.0,79.0,51.0,24.0,19.0,54.0,38.0,67.0,74.7,69.2,54.0
70%,Madécasse,Madagascar,1.5,70.0,36.0,38.0,36.0,77.0,87.0,54.0,32.0,28.0,51.0,66.0,74.0,72.7,70.6,53.0
67%,Madécasse,Madagascar,3.0,67.0,42.0,51.0,58.0,39.0,73.0,64.0,71.0,56.0,76.0,74.0,76.0,78.7,81.2,83.5
63,Madécasse,Madagascar,3.0,63.0,46.0,61.0,39.0,24.0,73.0,61.0,69.0,62.0,71.0,88.0,79.0,77.3,84.2,83.5
Apotequil 72,Coppeneur,Germany,4.5,72.0,51.0,43.0,46.0,49.0,72.0,84.0,80.0,71.0,62.0,96.0,85.0,87.3,91.4,94.0
Apotequil 62,Coppeneur,Germany,4.0,72.0,46.0,54.0,49.0,35.0,68.0,71.0,76.0,74.0,52.0,92.0,81.0,91.3,90.6,91.0
Madagascar 75,Patric,USA,4.5,75.0,44.0,42.0,64.0,47.0,67.0,71.0,76.0,68.0,80.0,98.0,90.0,76.0,92.4,94.5
Dark,Sir Hans Sloane,UK,4.5,64.0,78.0,61.0,23.0,16.0,76.0,68.0,43.0,81.0,64.0,100.0,91.0,75.3,92.4,94.5
Milk Chocolate,Sir Hans Sloane,UK,4.0,40.0,48.0,66.0,11.0,19.0,77.0,62.0,49.0,76.0,65.0,100.0,92.0,72.7,90.8,88.0
Cranberry Mandarin,Sir Hans Sloane,UK,4.5,42.0,44.0,77.0,82.0,13.0,74.0,76.0,91.0,78.0,84.0,96.0,79.0,78.7,94.4,95.0
Peppermint,Sir Hans Sloane,UK,4.0,64.0,68.0,54.0,46.0,11.0,72.0,64.0,70.0,86.0,72.0,94.0,83.0,76.7,91.2,94.0
Winter Spice,Sir Hans Sloane,UK,3.5,42.0,39.0,74.0,81.0,6.0,63.0,52.0,56.0,64.0,67.0,92.0,78.0,70.0,87.8,88.5
Dark,ki’Xocolatl,Mexico,4.0,72.0,92.0,69.0,16.0,44.0,58.0,41.0,14.0,66.0,53.0,82.0,90.0,80.0,90.4,88.0
Milk Choc w/ Nibs,ki’Xocolatl,Mexico,3.5,36.0,32.0,66.0,8.0,22.0,61.0,37.0,55.0,62.0,59.0,58.0,68.0,75.3,94.8,92.5
Rio Arriba 70,Salgado,Argentina,2.0,70.0,62.0,47.0,26.0,73.0,84.0,76.0,34.0,36.0,69.0,94.0,79.0,88.0,65.2,59.5
Naranja,Salgado,Argentina,2.0,60.0,33.0,57.0,97.0,52.0,76.0,91.0,23.0,34.0,69.0,98.0,76.0,82.7,71.4,54.0
Rio Arriba 62,Salgado,Argentina,2.0,62.0,64.0,66.0,29.0,43.0,72.0,51.0,44.0,48.0,67.0,90.0,74.0,78.7,72.8,73.5
Ecuador 65,Salgado,Argentina,3.0,65.0,79.0,58.0,10.0,61.0,83.0,46.0,22.0,54.0,63.0,92.0,84.0,79.3,76.6,85.5
Esmeraldas 88,Salgado,Argentina,0.0,88.0,34.0,18.0,37.0,89.0,97.0,88.0,26.0,16.0,64.0,90.0,83.0,45.3,30.8,20.5
Esmeraldas Milk,Salgado,Argentina,4.0,38.0,47.0,88.0,24.0,13.0,62.0,59.0,82.0,71.0,62.0,90.0,89.0,78.0,92.8,88.0
Esmeraldas 70,Salgado,Argentina,2.0,70.0,41.0,46.0,42.0,74.0,78.0,63.0,54.0,27.0,66.0,94.0,71.0,66.0,77.2,62.0
Moxos 72,Salgado,Argentina,3.5,72.0,68.0,46.0,47.0,54.0,83.0,76.0,62.0,60.0,71.0,88.0,71.0,82.0,89.4,87.0
Moxos Dark-Milk,Salgado,Argentina,4.0,47.0,47.0,70.0,36.0,32.0,71.0,59.0,68.0,71.0,66.0,88.0,84.0,80.0,90.4,89.0
Moxos Milk,Salgado,Argentina,4.0,33.0,31.0,64.0,17.0,34.0,66.0,52.0,58.0,79.0,68.0,90.0,79.0,85.3,89.2,88.5
Para 56,Salgado,Argentina,0.0,56.0,43.0,56.0,11.0,59.0,85.0,89.0,14.0,12.0,74.0,84.0,48.0,80.0,30.4,10.5
Bahia 70,Salgado,Argentina,1.5,70.0,27.0,21.0,32.0,88.0,46.0,94.0,18.0,24.0,81.0,92.0,81.0,76.0,56.4,66.5
Carenero 80,Salgado,Argentina,3.5,80.0,69.0,37.0,16.0,60.0,83.0,76.0,38.0,72.0,75.0,80.0,76.0,85.3,87.8,86.5
Carenero 70,Salgado,Argentina,2.0,70.0,61.0,39.0,28.0,57.0,86.0,76.0,36.0,67.0,72.0,78.0,93.0,82.7,68.4,69.0
75,Fine & Raw,USA,0.5,75.0,26.0,44.0,48.0,56.0,2.0,67.0,32.0,26.0,63.0,94.0,78.0,62.0,45.8,48.0
Tomé-Açu,Scharffen Berger,USA,3.5,68.0,38.0,51.0,77.0,47.0,30.0,64.0,66.0,43.0,64.0,82.0,80.0,82.7,87.6,87.5
Esmeraldas Milk,Original Beans,Netherlands,4.0,40.0,44.0,56.0,18.0,17.0,54.0,62.0,57.0,65.0,64.0,84.0,73.0,86.0,91.8,92.0
Davao,Askinosie,USA,3.5,77.0,41.0,32.0,50.0,76.0,54.0,78.0,68.0,52.0,87.0,92.0,92.0,84.7,85.8,82.0
Soconusco Milk,Askinosie,USA,1.5,52.0,30.0,33.0,18.0,49.0,52.0,71.0,22.0,28.0,69.0,82.0,73.0,70.7,68.8,59.0
Rio Caribe,Rogue,USA,2.5,70.0,43.0,48.0,34.0,19.0,69.0,66.0,62.0,47.0,76.0,98.0,72.0,86.7,78.8,75.5
Buena Vista 92,Coppeneur,Germany,5.0,92.0,61.0,30.0,34.0,84.0,77.0,93.0,51.0,91.0,96.0,100.0,90.0,94.0,93.8,94.0
Buena Vista 72,Coppeneur,Germany,3.5,72.0,64.0,45.0,39.0,66.0,71.0,72.0,65.0,53.0,78.0,92.0,81.0,84.0,86.6,87.5
Buena Vista Dark Milk,Coppeneur,Germany,3.0,52.0,48.0,46.0,29.0,44.0,70.0,61.0,50.0,38.0,56.0,96.0,87.0,80.7,78.6,79.5
Tarakan,Chocovic,Spain,4.5,75.0,47.0,33.0,74.0,66.0,72.0,78.0,84.0,76.0,71.0,98.0,88.0,83.3,91.2,92.0
Kendari,Chocovic,Spain,3.5,60.0,54.0,76.0,69.0,39.0,70.0,62.0,76.0,81.0,68.0,88.0,78.0,82.0,87.4,88.0
Nayarit,Chocovic,Spain,2.5,37.0,22.0,78.0,81.0,8.0,62.0,68.0,51.0,44.0,59.0,86.0,74.0,78.7,80.6,78.0
Virunga,Original Beans,Netherlands,4.0,70.0,84.0,52.0,26.0,14.0,62.0,65.0,46.0,81.0,72.0,94.0,78.0,81.3,88.2,92.0
Superbrill Dark,Chocovic,Spain,2.0,23.0,72.0,74.0,4.0,11.0,61.0,69.0,28.0,63.0,61.0,82.0,64.0,77.3,70.6,68.5
Tobago,Chocovic,Spain,3.0,64.0,84.0,69.0,9.0,16.0,75.0,51.0,36.0,77.0,61.0,84.0,84.0,82.0,83.8,84.0
Zaire,Chocovic,Spain,2.5,57.0,78.0,72.0,14.0,8.0,74.0,48.0,34.0,61.0,67.0,80.0,67.0,76.0,78.2,81.0
6040,Chocovic,Spain,2.5,60.0,83.0,71.0,6.0,18.0,73.0,54.0,32.0,66.0,64.0,80.0,82.0,79.3,77.2,77.0
Ceylon,Chocovic,Spain,4.0,36.0,52.0,78.0,29.0,13.0,71.0,62.0,66.0,64.0,70.0,80.0,88.0,84.0,89.8,89.0
Nepal,Chocovic,Spain,3.0,30.0,47.0,84.0,17.0,12.0,56.0,41.0,35.0,61.0,50.0,88.0,67.0,88.0,82.2,82.5
58,Monggo,Indonesia,1.5,58.0,42.0,93.0,31.0,18.0,70.0,69.0,33.0,57.0,61.0,94.0,69.0,74.7,67.2,67.0
Machu Picchu,Guittard,USA,2.0,65.0,39.0,44.0,42.0,47.0,76.0,61.0,54.0,46.0,58.0,96.0,87.0,84.7,68.4,64.5
Ultimo Dark,Vere,USA,1.0,75.0,44.0,28.0,16.0,53.0,55.0,64.0,32.0,41.0,56.0,76.0,77.0,62.0,59.2,65.5
85%,Kallari,Ecuador,2.0,85.0,36.0,40.0,31.0,57.0,52.0,51.0,54.0,33.0,69.0,90.0,79.0,74.7,65.4,70.5
75%,Kallari,Ecuador,3.5,75.0,38.0,56.0,44.0,35.0,52.0,77.0,51.0,60.0,76.0,86.0,78.0,77.3,91.4,87.0
70%,Kallari,Ecuador,2.5,70.0,48.0,62.0,42.0,35.0,54.0,61.0,46.0,58.0,72.0,88.0,80.0,80.7,77.4,78.0
Dark-Milk,Scharffen Berger,USA,2.5,68.0,48.0,47.0,14.0,44.0,71.0,77.0,54.0,65.0,76.0,80.0,72.0,79.3,76.6,68.5
Centenario Crudo,Felchlin,Switzerland,2.5,70.0,54.0,77.0,32.0,26.0,67.0,76.0,41.0,17.0,46.0,84.0,90.0,88.0,75.4,76.5
Centenario Concha,Felchlin,Switzerland,3.5,70.0,63.0,56.0,47.0,32.0,62.0,66.0,44.0,61.0,65.0,80.0,83.0,89.3,86.8,84.5
Asante,Scharffen Berger,USA,4.0,65.0,68.0,57.0,51.0,46.0,52.0,67.0,42.0,59.0,73.0,90.0,81.0,88.0,88.0,88.0
Leche,Enric Rovira,Spain,3.5,40.0,22.0,86.0,6.0,27.0,81.0,58.0,53.0,77.0,62.0,94.0,84.0,84.0,86.2,84.5
Montanya,Amano,USA,3.5,70.0,42.0,39.0,61.0,72.0,66.0,70.0,47.0,48.0,67.0,84.0,86.0,82.7,87.0,86.0
Ocumare Milk,Amano,USA,2.0,30.0,64.0,73.0,38.0,29.0,66.0,52.0,41.0,34.0,51.0,88.0,81.0,62.0,77.2,71.0
Jembrana Milk,Amano,USA,5.0,30.0,36.0,69.0,41.0,26.0,68.0,71.0,64.0,79.0,66.0,94.0,78.0,93.3,94.6,96.0
El Rustico,Askinosie,USA,2.5,70.0,31.0,50.0,49.0,22.0,59.0,94.0,36.0,29.0,49.0,96.0,87.0,92.7,76.0,66.0
Xoconusco,Chocovic,Spain,3.5,71.0,76.0,49.0,48.0,46.0,81.0,62.0,54.0,64.0,55.0,94.0,84.0,79.3,88.2,89.0
Sambirano,Chocovic,Spain,3.5,71.0,81.0,52.0,37.0,44.0,84.0,65.0,56.0,71.0,57.0,84.0,81.0,80.7,89.0,89.0
Guanaja Grué,Valrhona,France,4.5,70.0,71.0,50.0,56.0,57.0,62.0,88.0,86.0,73.0,89.0,94.0,86.0,91.3,91.8,92.5
Rawbar,Tava/Journée,Australia,3.0,70.0,68.0,42.0,12.0,44.0,11.0,50.0,29.0,33.0,74.0,72.0,69.0,78.0,85.0,81.5
El Oro,Bessone,Italy,1.5,67.0,55.0,46.0,14.0,18.0,71.0,69.0,26.0,39.0,52.0,88.0,52.0,86.7,60.6,63.5
Colombia,Bessone,Italy,4.0,71.0,74.0,37.0,46.0,48.0,76.0,66.0,64.0,80.0,62.0,86.0,87.0,78.7,90.0,86.0
Ocumare,Bessone,Italy,3.0,71.0,86.0,50.0,26.0,56.0,71.0,64.0,36.0,74.0,61.0,86.0,94.0,80.7,82.4,80.5
Fina Estate,Bessone,Italy,2.5,70.0,58.0,46.0,36.0,77.0,85.0,68.0,51.0,44.0,59.0,94.0,86.0,92.0,71.2,72.0
Scavina,Bessone,Italy,3.0,60.0,66.0,62.0,23.0,38.0,73.0,51.0,49.0,68.0,72.0,66.0,82.0,82.7,85.4,82.5
Trintade,Bessone,Italy,4.0,65.0,66.0,62.0,57.0,40.0,71.0,63.0,61.0,64.0,68.0,96.0,84.0,84.0,90.6,92.5
Yaoya,Bessone,Italy,3.0,67.0,83.0,76.0,21.0,30.0,64.0,52.0,26.0,68.0,61.0,88.0,79.0,80.0,85.2,84.0
Belizze,Bessone,Italy,1.0,67.0,57.0,46.0,24.0,66.0,79.0,64.0,30.0,43.0,58.0,98.0,62.0,78.0,56.8,60.5
Ceylon,Bessone,Italy,5.0,41.0,37.0,56.0,24.0,30.0,68.0,77.0,91.0,72.0,87.0,98.0,97.0,78.7,96.4,94.5
Caracas,Bessone,Italy,4.5,67.0,62.0,56.0,41.0,52.0,68.0,81.0,87.0,68.0,93.0,100.0,79.0,84.7,92.8,93.0
Kacinkoa,Weiss,France,3.5,85.0,56.0,33.0,6.0,48.0,64.0,39.0,28.0,71.0,69.0,74.0,83.0,90.0,86.2,82.0
Ébène,Weiss,France,3.5,72.0,64.0,52.0,36.0,21.0,62.0,55.0,66.0,69.0,65.0,84.0,84.0,79.3,88.6,87.5
Acarigua,Weiss,France,3.0,70.0,37.0,70.0,21.0,26.0,54.0,29.0,23.0,58.0,62.0,74.0,74.0,72.7,86.8,79.0
Grand Noir,Weiss,France,2.0,57.0,51.0,77.0,18.0,16.0,58.0,44.0,23.0,31.0,61.0,80.0,71.0,77.3,68.4,69.0
Recolta Café,Weiss,France,0.5,55.0,12.0,71.0,82.0,38.0,56.0,92.0,27.0,31.0,42.0,92.0,78.0,62.0,54.2,37.0
Ibaria,Weiss,France,3.0,67.0,25.0,61.0,90.0,14.0,58.0,52.0,54.0,47.0,61.0,84.0,87.0,72.7,81.4,80.5
Lait Entier,Weiss,France,1.5,37.0,22.0,73.0,32.0,4.0,41.0,26.0,28.0,17.0,48.0,96.0,66.0,55.3,71.4,72.5
90,Lindt,Switzerland,3.0,90.0,71.0,20.0,12.0,41.0,86.0,54.0,23.0,82.0,61.0,94.0,81.0,79.3,85.6,77.0
Bahia,Marcolini,Belgium,3.0,72.0,42.0,46.0,53.0,38.0,66.0,61.0,54.0,65.0,62.0,78.0,77.0,84.7,83.6,83.0
Éclat 72%,Marcolini,Belgium,0.0,72.0,26.0,34.0,21.0,47.0,54.0,32.0,11.0,28.0,23.0,56.0,34.0,54.7,27.4,21.0
85% w/ Nibs,Blanxart,Spain,2.5,85.0,76.0,22.0,8.0,44.0,77.0,41.0,14.0,70.0,66.0,90.0,60.0,86.0,77.4,72.0
Costa Rica 91,Theo,USA,3.0,91.0,23.0,26.0,13.0,82.0,63.0,79.0,32.0,46.0,47.0,94.0,78.0,88.7,77.2,84.0
70%,Theo,USA,3.5,70.0,41.0,44.0,62.0,50.0,56.0,55.0,61.0,53.0,71.0,92.0,54.0,88.0,88.6,89.0
Organic Dark,Theo,USA,3.0,70.0,76.0,49.0,31.0,38.0,72.0,44.0,26.0,68.0,48.0,96.0,76.0,72.7,81.6,83.5
Xoconuzco,Bonnat,France,5.0,75.0,56.0,54.0,25.0,34.0,76.0,58.0,27.0,83.0,59.0,96.0,76.0,96.0,96.4,95.0
Carenero,Escazú,USA,4.0,81.0,58.0,43.0,68.0,29.0,61.0,84.0,76.0,90.0,82.0,84.0,88.0,79.3,91.4,91.5
Dark Goat,Escazú,USA,3.5,60.0,39.0,41.0,56.0,18.0,62.0,77.0,65.0,62.0,68.0,86.0,82.0,78.0,87.6,88.0
75%,Santander,Colombia,4.5,75.0,54.0,38.0,42.0,72.0,84.0,76.0,78.0,71.0,77.0,88.0,86.0,84.7,93.2,89.0
White w/ Coffee,Santander,Colombia,5.0,35.0,37.0,84.0,46.0,16.0,57.0,71.0,88.0,76.0,71.0,88.0,92.0,82.0,95.2,94.5
Soso-O,Adi,Fiji,3.0,100.0,26.0,37.0,15.0,67.0,61.0,76.0,31.0,54.0,60.0,74.0,85.0,56.0,87.6,79.5
Boi,Adi,Fiji,3.0,85.0,47.0,41.0,25.0,58.0,64.0,71.0,62.0,49.0,66.0,54.0,83.0,72.0,85.8,78.5
Toto-A,Adi,Fiji,1.5,80.0,29.0,25.0,21.0,63.0,61.0,64.0,31.0,41.0,60.0,44.0,78.0,42.7,73.4,63.0
Ami-Ami-Ca,Adi,Fiji,3.0,72.0,37.0,34.0,32.0,45.0,61.0,56.0,45.0,61.0,68.0,68.0,78.0,66.0,87.4,78.5
Loloma,Adi,Fiji,3.0,70.0,44.0,53.0,36.0,33.0,61.0,55.0,59.0,54.0,66.0,78.0,87.0,68.0,88.0,82.0
Special Dark,Hershey’s,USA,2.0,45.0,29.0,68.0,13.0,24.0,86.0,65.0,41.0,29.0,44.0,58.0,82.0,70.7,73.6,73.5
DR1,Soma,Canada,3.5,66.0,54.0,76.0,45.0,42.0,67.0,68.0,72.0,46.0,79.0,100.0,86.0,86.0,86.8,84.0
Conacado,Soma,Canada,5.0,70.0,48.0,66.0,61.0,14.0,57.0,93.0,82.0,96.0,77.0,72.0,92.0,95.3,95.6,96.0
Dominican Republic 70%,Soma,Canada,3.5,70.0,51.0,57.0,44.0,61.0,68.0,63.0,65.0,54.0,72.0,86.0,80.0,89.3,85.6,79.5
Papua New Guinea 70%,Soma,Canada,2.5,70.0,44.0,46.0,51.0,56.0,70.0,76.0,33.0,58.0,62.0,94.0,83.0,83.3,78.4,75.0
Dominican Republic / Papua New Guinea,Soma,Canada,3.5,70.0,34.0,42.0,28.0,51.0,76.0,82.0,46.0,95.0,70.0,76.0,80.0,92.0,86.2,82.0
Dark Fire,Soma,Canada,3.5,66.0,39.0,53.0,68.0,33.0,69.0,77.0,44.0,72.0,91.0,82.0,80.0,84.7,86.8,83.0
Madagascar Milk,Soma,Canada,4.0,48.0,36.0,67.0,41.0,12.0,71.0,66.0,77.0,81.0,84.0,68.0,89.0,84.7,92.0,91.5
Ghana 70,Soma,Canada,3.5,70.0,72.0,48.0,21.0,39.0,76.0,54.0,28.0,81.0,76.0,76.0,83.0,85.3,88.2,87.0
Ghana/Madagascar,Soma,Canada,4.0,70.0,68.0,54.0,44.0,34.0,76.0,71.0,65.0,76.0,81.0,76.0,78.0,84.0,90.2,90.0
Dancing in Your Head,Soma,Canada,3.5,70.0,58.0,51.0,36.0,31.0,77.0,74.0,60.0,72.0,68.0,84.0,91.0,79.3,89.2,85.0
Arcana 3-100,Soma,Canada,4.5,100.0,9.0,36.0,68.0,66.0,71.0,80.0,73.0,66.0,75.0,62.0,82.0,87.3,95.2,95.0
Arcana 4-100,Soma,Canada,2.5,100.0,4.0,11.0,77.0,82.0,70.0,84.0,66.0,45.0,71.0,76.0,79.0,72.7,80.8,71.5
75% Blend w/ Nibs,Soma,Canada,1.5,75.0,41.0,44.0,62.0,48.0,64.0,77.0,61.0,34.0,69.0,84.0,84.0,74.7,65.8,53.0
Mad 74,Theo,USA,1.0,74.0,17.0,28.0,78.0,36.0,72.0,68.0,31.0,25.0,56.0,100.0,73.0,60.7,61.4,56.0
Madagascar 72%,Mast Brothers,USA,2.0,72.0,26.0,34.0,77.0,48.0,67.0,71.0,35.0,41.0,64.0,76.0,79.0,62.7,73.6,70.0
Madagascar with Almonds,Mast Brothers,USA,3.5,72.0,33.0,36.0,79.0,44.0,67.0,76.0,68.0,55.0,82.0,80.0,83.0,80.7,85.8,88.0
Dark w/ Nibs,Malie Kai,USA,3.5,55.0,39.0,81.0,48.0,7.0,46.0,52.0,54.0,47.0,44.0,70.0,78.0,79.3,90.0,87.0
Milk Choc w/ Nibs,Malie Kai,USA,3.5,38.0,37.0,71.0,30.0,16.0,48.0,39.0,54.0,59.0,56.0,62.0,92.0,78.7,86.8,89.5
Black Pepper,Åkesson's,Sweden,2.5,75.0,33.0,40.0,89.0,44.0,65.0,92.0,51.0,42.0,68.0,94.0,86.0,78.7,76.8,78.5
Criollo,Åkesson's,Sweden,3.5,75.0,48.0,51.0,56.0,61.0,83.0,64.0,55.0,62.0,76.0,90.0,88.0,86.0,86.4,84.0
Arabia,Al nassma,Dubai,3.0,31.0,23.0,49.0,88.0,16.0,58.0,72.0,44.0,46.0,65.0,92.0,82.0,79.3,78.8,80.0
Camel Milk,Al nassma,Dubai,3.0,31.0,13.0,62.0,14.0,27.0,60.0,72.0,58.0,45.0,71.0,88.0,86.0,79.3,83.0,81.5
Cocoa 70,Al nassma,Dubai,2.5,70.0,56.0,53.0,44.0,49.0,61.0,72.0,66.0,54.0,78.0,74.0,80.0,80.7,79.2,76.0
Voatsiperifery,Åkesson's,Sweden,4.0,75.0,31.0,38.0,66.0,37.0,62.0,71.0,80.0,64.0,92.0,92.0,89.0,80.0,88.4,87.0
Amazonia,Cacaoyere,Ecuador,3.0,63.0,51.0,81.0,69.0,24.0,56.0,76.0,68.0,47.0,43.0,86.0,80.0,72.0,85.2,79.5
Grenada 75%,Burdick,USA,5.0,75.0,78.0,37.0,32.0,42.0,71.0,79.0,44.0,96.0,83.0,92.0,94.0,88.0,92.0,95.5
Congo 82,Blanxart,Spain,3.0,82.0,77.0,54.0,16.0,21.0,79.0,56.0,32.0,51.0,70.0,96.0,69.0,97.3,81.8,78.5
Davao Dark Milk,Askinosie,USA,3.0,62.0,30.0,39.0,22.0,64.0,56.0,78.0,66.0,47.0,81.0,88.0,88.0,79.3,83.4,79.0
Dos Rios,Amano,USA,3.5,70.0,47.0,63.0,91.0,44.0,61.0,82.0,34.0,39.0,0.0,98.0,91.0,86.0,85.4,81.0
Mac-Orange,Al nassma,Dubai,2.5,31.0,22.0,71.0,90.0,11.0,49.0,76.0,62.0,51.0,73.0,40.0,69.0,72.0,80.8,78.0
Dates,Al nassma,Dubai,3.5,31.0,33.0,84.0,27.0,16.0,65.0,70.0,68.0,79.0,76.0,42.0,86.0,78.0,91.0,91.0
